Name,Started,County,Location,AcresBurned,PercentContained,Longitude,Latitude,Year,ExtinguishedTime
Thomas Fire,2017-12-04 18:28:00+00:00,Ventura,"Hwy 150 and Hwy 126, north of Santa Paula ",281893.0,100.0,-119.09124,34.41521,2017,928.93
Riverdale Fire,2017-12-04 12:26:00+00:00,Riverside," Riverdale Place and Lakeview Ave, Santa Ana Riverbed ",40.0,100.0,-117.4764,33.96514,2017,865.35
Roser Fire,2017-11-02 14:40:00+00:00,Tehama,"Roser Rd & Sour Grass Rd, 6 miles NW of Orland",43.0,100.0,-122.28165,39.81517,2017,1631.1
Loma Fire,2017-10-13 15:40:00+00:00,San Diego,"Loma Range 217, Camp Pendleton",81.0,100.0,-117.46709,33.38613,2017,2109.97
Palm Fire,2017-11-14 16:11:00+00:00,Riverside,"Off Palm Dr & 20th Ave, Desert Hot Springs",40.0,100.0,-116.50151,33.90327,2017,1341.58
Vista Fire,2017-10-24 14:44:00+00:00,Ventura,off Hwy 33 & Casitas Vista Rd,86.0,100.0,-119.30918,34.34949,2017,1847.02
Soda Fire,2017-10-20 12:13:00+00:00,San Luis Obispo,"Off Soda Lake Rd, Carrizo Plains area ",21.0,100.0,-120.00353,35.41112,2017,1945.48
Bitterwater Fire,2017-11-25 16:46:00+00:00,San Benito,Airline Hwy and Bitterwater Road,47.0,100.0,-121.00391,36.38109,2017,1077.0
Church Fire,2017-10-21 13:04:00+00:00,San Diego,"off Highway 94 and Church Rd, Campo Indian Reservation ",100.0,100.0,-116.37345,32.64962,2017,1920.62
Oak Fire,2017-11-29 12:19:00+00:00,San Bernardino,"Off Oak Glen Rd and Pine Bench Rd, east of Oak Glen",99.0,100.0,-116.940661,34.035344,2017,985.45
Lilac Fire,2017-12-07 11:15:00+00:00,San Diego,"Old Hwy 395 at Dulin Road, Bonsall",4088.0,100.0,-117.163,33.3237,2017,794.53
Liberty Fire,2017-12-07 13:14:00+00:00,Riverside,"Los Alamos Rd & Liberty Rd, city of Murrieta",300.0,100.0,-117.14979,33.59257,2017,792.55
Longhorn Fire,2017-12-13 15:27:00+00:00,Riverside,"off Shirleon Road and Old Banning and Idyllwild Road, Banning area",19.0,100.0,-116.91023,33.88994,2017,646.37
Skirball Fire,2017-12-06 06:31:00+00:00,Los Angeles,N Sepulveda Blvd at I-405,422.0,100.0,-118.48178,34.09454,2017,1153.67
Drum Fire,2017-12-16 12:21:00+00:00,Santa Barbara,"off Drum Canyon Rd, south of Los Alamos",14.0,100.0,-120.27077,34.71796,2017,577.47
Coast Fire,2017-12-14 12:59:00+00:00,Santa Barbara,"off the 3500 Block of Highway 1, south east of Lompoc",14.0,100.0,-120.414875,34.605358,2017,624.83
Riverbottom Fire,2017-12-21 11:16:00+00:00,Riverside,"Mission Inn Ave. and Redwood Dr., Riverside",45.0,100.0,-117.38417,33.9885,2017,458.55
Aqueduct Fire,2018-04-12 14:30:00+00:00,Fresno,"25th Ave & Ultica Ave, south of Kettleman City",30.0,100.0,-119.94083,35.92436,2018,6379.27
Montecito Flooding / Mudflows,2018-01-09 04:00:00+00:00,Ventura,"Montecito, Summerland and Carpenteria",0.0,100.0,0.0,0.0,2018,8621.72
Haycamp Fire,2018-02-07 15:53:00+00:00,Monterey,"Nacimento Fergusson Road and Hayfork Road, west of the community of Lockwood",50.0,100.0,-121.28185,35.96689,2018,7913.83
Pleasant Fire,2018-02-18 14:12:00+00:00,Inyo,"Pleasant Valley Dam Road and Hwy 395, north of Bishop",2070.0,100.0,-118.50235,37.40208,2018,7651.52
Wilcox Fire,2018-02-18 13:45:00+00:00,Tulare,"Road 136 and Avenue 440, Community of Orosi",33.0,100.0,0.0,0.0,2018,7651.98
Grant Fire,2018-05-14 13:06:00+00:00,Alameda,"Grant Line Road and I-580, east of Livermore",12.0,100.0,-121.6039,37.73835,2018,5637.32
Twisselman Fire,2018-05-16 16:30:00+00:00,Kern,"Twisselman Road and Kecks Road, west of Highway 33",293.0,100.0,0.0,0.0,2018,5585.92
Patterson Fire,2018-05-17 14:19:00+00:00,Riverside,"off Rawson Road and Royal Netherlands Road, south of Winchester",1261.0,100.0,-117.05992,33.62924,2018,5564.08
Tyler Fire,2018-04-15 04:38:00+00:00,Riverside,"Tyler Street and Vista Del Sur, Coachella, City of Coachella",15.0,100.0,-116.164058,33.711263,2018,6317.13
Santa Cruz Fire,2018-03-27 14:45:00+00:00,Santa Barbara,"Channel Islands National Park, Santa Cruz Island",258.0,100.0,-119.76576,34.0232,2018,6762.98
Rock Fire,2018-03-27 16:20:00+00:00,Shasta,"Rock Creek Rd, SE of Shingletown",11.0,100.0,-121.77419,40.4635,2018,6761.42
Meadow Fire,2018-04-09 18:18:00+00:00,Riverside,"Tin Mine Rd, north of the Cajalco Expressway",21.0,100.0,-117.48144,33.86439,2018,6447.47
Volcan Fire,2018-05-10 20:41:00+00:00,San Diego,"Volcan Road and Farmer Road, north of the community of Julian",12.0,100.0,-116.58759,33.12213,2018,5725.73
Shastina Fire,2018-05-09 18:11:00+00:00,Siskiyou,"west of Rancho Hills, community of Lake Shastina, north of Weed",127.0,100.0,-122.48556,41.65935,2018,5752.23
Lago Fire,2018-04-22 13:35:00+00:00,Riverside,"Via Del Lago and Alta Calle, Lake Perris, Moreno Valley",18.0,100.0,-117.16232,33.88744,2018,6143.58
French Fire,2018-04-26 15:00:00+00:00,Plumas,"Frenchman Lake Rd., south of Frenchman Lake, 7 miles north of Chilcoot",20.0,100.0,-120.18499,39.89075,2018,6067.45
Happy Fire,2018-05-17 12:53:00+00:00,Santa Barbara,"Alisos Canyon Rd, Santa Ynez, north of Santa Barbara ",60.0,100.0,-120.18236,34.74245,2018,5565.53
Jacques Fire,2018-05-09 22:00:00+00:00,San Diego,"De Luz Rd and Wisecarver fuel break, Camp Pendleton Marine Corps Base",18.0,100.0,-117.27467,33.40178,2018,5748.43
Alpha Fire,2018-05-04 11:44:00+00:00,San Diego,"Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base",300.0,100.0,-117.502405,33.389425,2018,5878.7
Nees Fire,2018-05-02 16:00:00+00:00,Merced,Interstate 5 and W Nees Ave. south of Los Banos ,1756.0,100.0,-120.77206,36.85156,2018,5922.43
Tornado Fire,2018-05-04 14:48:00+00:00,Riverside,"Via Santa Rosa near Via Tornado, southwest of Temecula",70.0,100.0,-117.148204,33.504964,2018,5875.63
Woodchuck Fire,2018-05-04 18:53:00+00:00,Riverside,"Hwy 79 & Woodchuck Road, Temecula",15.0,100.0,-117.003829,33.467999,2018,5871.55
Moffat Fire,2018-04-19 10:28:00+00:00,Inyo,"Highway 395 and Moffat Ranch Road, north of Lone Pine",1065.0,100.0,-118.08449,36.71537,2018,6218.68
Grape Fire,2018-04-24 16:59:00+00:00,Humboldt,"Black Bennet Rd. near Grape Creek, 8 miles southwest of Burnt Ranch",0.0,100.0,-123.55012,40.70258,2018,6094.4
Main Fire,2018-04-28 14:26:00+00:00,Riverside,"Main Street and Interstate 15, City of Lake Elsinore",73.0,100.0,-117.32281,33.67815,2018,6020.0
White Fire,2018-05-18 11:00:00+00:00,Tulare,"off Road 272 and Avenue 2, east of Delano",26.0,100.0,-118.9821,35.826333,2018,5543.4
Jelly Fire,2018-05-18 16:37:00+00:00,Tehama,"Off Jellysferry Rd, north of Red Bluff",103.0,100.0,-122.21032,40.31759,2018,5537.78
Ager Fire,2018-05-19 13:04:00+00:00,Siskiyou,"off Ager Road, northeast of Montague",27.0,100.0,-122.513883,41.791859,2018,5517.33
Plaza Fire,2018-05-20 13:07:00+00:00,Merced,off Highway 33 and south of Highway 152,88.0,100.0,-121.01638,37.056944,2018,5493.28
Bellagio Fire,2018-05-21 11:56:00+00:00,Napa,"American Canyon Rd, East of American Canyon",12.0,100.0,-122.23059,38.16303,2018,5470.45
Agua Fire,2018-05-22 14:13:00+00:00,San Diego,"Hwy 76 and Agua Tibia Ranch Rd, 7.5 miles east of I-15",59.0,100.0,-117.03134,33.35505,2018,5444.17
Experimental Fire,2018-05-23 14:30:00+00:00,Madera,"Off Hwy 41 & Rd 406, south of ONeals",56.0,100.0,-119.75307,37.0979,2018,5419.88
Water Fire,2018-05-24 10:43:00+00:00,San Luis Obispo,"Bitterwater Rd and Bitterwater Canyon Rd, California Valley Area",100.0,100.0,-120.12441,35.56922,2018,5399.65
Cobble Fire,2018-05-26 14:52:00+00:00,Fresno,"Cobblestone Lane and Thernal Road, Tivy Valley",108.0,100.0,-119.42172,36.75581,2018,5347.5
Keeler Fire,2018-05-27 17:05:00+00:00,Santa Clara,"Keeler Court and Santa Teresa Blvd., south of San Jose",16.0,100.0,-121.76828,37.21803,2018,5321.28
70th Fire,2018-05-28 07:23:00+00:00,Riverside,"Highway 86 Expressway and Avenue 70, Thermal",10.0,100.0,-116.10231,33.53924,2018,5306.97
Chrome Fire,2018-05-28 17:33:00+00:00,Glenn,"Hwy 162 and Forest Hwy 7, northwest of Elk Creek",75.0,100.0,-122.58666,39.65578,2018,5296.8
Stuhr Fire,2018-05-29 12:58:00+00:00,Stanislaus,"Interstate 5 and Stuhr Rd, South of Patterson",63.0,100.0,-121.10903,37.32744,2018,5277.38
Vineyard Fire,2018-05-29 13:11:00+00:00,San Luis Obispo,"Estrella Rd and Airport Rd, North of Paso Robles",25.0,100.0,-120.64028,35.71859,2018,5277.15
Grant Fire,2018-05-30 13:21:00+00:00,Alameda,"near Grant Line Rd and Mountain House Rd, Altamont Area ",484.0,100.0,-121.57918,37.75375,2018,5252.98
Madison FIre,2018-06-01 13:31:00+00:00,Yolo,"County Road 25 and County Road 86A, community of Madison north of Winters       ",14.0,100.0,-122.01762,38.64953,2018,5204.82
Open Fire,2018-06-01 15:20:00+00:00,Glenn,"Open Ridge, NW of Dry Creek Hill, 11 miles SW of Elk Creek",127.0,100.0,-122.65582,39.46543,2018,5202.98
Plymire Fire,2018-06-01 16:07:00+00:00,Tehama,"Plymire Rd and Deer Valley Rd, West of Red Bluff ",23.0,100.0,-122.29388,40.201826,2018,5202.2
Glen Fire,2018-06-02 12:42:00+00:00,Contra Costa,Glen Canyon Circle and  Chaparral Drive  SE of Pittsburg,23.0,100.0,-121.86473,37.99113,2018,5181.62
Aliso Fire,2018-06-02 13:07:00+00:00,Orange,"Aliso Woods Canyon Park, Community of Aliso Viejo",175.0,100.0,-117.72044,33.55132,2018,5181.2
Jardin Fire,2018-06-02 15:53:00+00:00,Riverside,"Calle Jardin  and Calle Uva, Temecula",10.0,100.0,-117.22215,33.45014,2018,5178.42
Coldwell Fire,2018-06-02 09:55:00+00:00,Fresno,"Hwy 198 and Coldwell Ln, 10 miles west of Coalinga",13.0,100.0,-120.55324,36.10499,2018,5184.38
Black Fire,2018-06-03 08:55:00+00:00,Tehama,Black Butte Lake and Newville Road west of Orland,10.0,100.0,-122.3307,39.80827,2018,5161.38
Grande Fire,2018-06-03 13:38:00+00:00,Riverside,"Vuelta Grande Rd and Carancho Rd, Community of De Luz",11.0,100.0,-117.31468,33.47413,2018,5156.67
Ethanac Fire,2018-06-03 14:17:00+00:00,Riverside,"Highway 74 and Ethanac Rd, City of Perris",17.0,100.0,-117.28189,33.742,2018,5156.0
Fairview Fire,2018-06-03 15:09:00+00:00,San Benito,"Fairview Rd and John Smith Rd, City of Hollister",35.0,100.0,-121.36446,36.83036,2018,5155.13
Resort Fire,2018-06-03 16:11:00+00:00,San Luis Obispo,"Lake Nacimiento, 10 miles west of Paso Robles",12.0,100.0,-120.91793,35.75737,2018,5154.1
Martin Fire,2018-06-03 16:14:00+00:00,Siskiyou,"Martin Dr. and Stanton Drive, NE of Lake Shastina",37.0,100.0,-122.33769,41.58233,2018,5154.05
Adobe Fire,2018-06-03 16:16:00+00:00,San Diego,"I-8 and College Ave, San Diego City",38.0,100.0,-117.06782,32.78031,2018,5154.0
Green Fire,2018-06-03 18:23:00+00:00,San Diego,"Greenwick Rd and Brabham St, Community of Rancho San Diego",10.0,100.0,-116.92404,32.75072,2018,5151.88
Stone Fire,2018-06-04 12:40:00+00:00,Los Angeles,"off Anthony Road and Hierba Road, North of Agua Dulce",1352.0,100.0,-118.31138,34.5486,2018,5133.58
Meamber Fire,2018-06-04 15:08:00+00:00,Siskiyou,"Meamber Creek Road, 8 miles west of Fort Jones",12.0,100.0,-122.98442,41.64805,2018,5131.08
Airline Fire,2018-06-04 17:01:00+00:00,San Benito,Coalinga and Airline Highway,1314.0,100.0,-120.99322,36.40755,2018,5129.23
Eastern Fire,2018-06-04 17:30:00+00:00,San Benito,"Coalinga Road, east of Bitterwater ",513.0,100.0,-120.901167,36.378333,2018,5128.73
ONeals Fire,2018-06-04 17:44:00+00:00,Madera,"Road 210 and Road 200, Oneal",300.0,100.0,-119.623981,37.10181,2018,5128.5
Panoche Fire,2018-06-04 23:17:00+00:00,San Benito,"Panoche Road, north of San Benito",64.0,100.0,-121.03253,36.64832,2018,5122.93
Pallet Fire,2018-06-05 13:03:00+00:00,Sonoma,"Hwy 12 and Broadway, Schellville ",10.0,100.0,-122.44408,38.245151,2018,5109.15
Vista Fire,2018-06-05 13:45:00+00:00,San Diego,"Vista Del Lago/Via Ranchitos, Fallbrook",12.0,100.0,-117.22974,33.40769,2018,5108.43
Recycle Fire,2018-06-06 09:46:00+00:00,San Diego,"Off Hwy 94 and Campo Truck Trail, Campo",265.0,100.0,-116.46674,32.63046,2018,5088.42
Liberty Fire,2018-06-11 12:16:00+00:00,San Joaquin,off East Liberty Road ,62.0,100.0,-121.09199,38.24033,2018,4965.87
Bear Fire,2018-06-07 18:04:00+00:00,Merced,"Cunningham Road and Hwy 140, Planda",200.0,100.0,-120.24315,37.33924,2018,5056.1
Apple Fire,2018-06-09 14:10:00+00:00,Tehama,"Off Apple Rd & Paskenta Rd, west of Corning",2956.0,100.0,-122.3571,39.94355,2018,5012.0
Chrome Fire,2018-06-09 15:32:00+00:00,Glenn,"Hwy 162 and Forest Hwy 7, north of Elk Creek",2290.0,100.0,-122.58218,39.64978,2018,5010.62
Mission Fire,2018-06-09 15:30:00+00:00,Marin,"Mission Avenue and C Street, City of San Rafael",12.0,100.0,-122.5275,37.97638,2018,5010.65
South Fire,2018-06-09 14:45:00+00:00,Los Angeles,"I-5 and Calgrove Blvd, Santa Clarita",175.0,100.0,-122.5275,37.97638,2018,5011.38
Sam Fire,2018-06-09 15:31:00+00:00,Monterey,"Sam Jones and Jolon Rd, Fort Hunter Liggett ",96.0,100.0,-121.11936,35.9352,2018,5010.62
Beaver Fire,2018-06-12 15:06:00+00:00,San Benito,"off Coalinga Highway and Airline Highway, East of King City",215.0,100.0,-120.862579,36.37532,2018,4939.02
Vista Fire,2018-06-13 12:38:00+00:00,San Luis Obispo,"off Buena Vista Road, north of Paso Robles",60.0,100.0,-120.670311,35.663607,2018,4917.48
Santiago Fire,2018-06-11 17:04:00+00:00,Orange,off Highway 241 and Santiago Canyon Road,155.0,100.0,-117.746625,33.787838,2018,4961.07
Euclid Fire,2018-06-12 14:22:00+00:00,Riverside,off Highway 71 south of Euclid Avenue in Chino,154.0,100.0,-117.654299,33.925862,2018,4939.75
Portola Fire ,2018-06-12 14:56:00+00:00,Los Angeles,off Westwanda Drive and Benedict Canyon Drive,20.0,100.0,-118.427886,34.110516,2018,4939.18
Spring Fire,2018-06-13 21:06:00+00:00,Tehama,"off Spring Branch Road and Jellys Ferry Road, northeast of Red Bluff",70.0,100.0,-122.135924,40.394073,2018,4909.02
Bridle Fire,2018-06-14 17:02:00+00:00,Riverside,"off Crazy Horse Canyon Drive and Bridle Trail Road, Community of Aguanga",20.0,100.0,-116.821724,33.524412,2018,4889.07
70 Fire,2018-06-14 15:18:00+00:00,Butte,"off Highway 70 at Table Mountain Road, north of Oroville",20.0,100.0,-121.617698,39.602703,2018,4890.82
Creston FIre,2018-06-14 17:23:00+00:00,San Luis Obispo,"off Creston Road, east of Paso Robles",60.0,100.0,-120.624135,35.58354,2018,4888.72
Tumbleweed Fire,2018-06-14 17:45:00+00:00,Lassen,"off Highway 395 Southeast of Litchfield, East of Susanville",646.0,100.0,-120.36403,40.3768,2018,4888.35
Planada Fire,2018-06-15 10:34:00+00:00,Merced,"off Doug Road and Bonner Road, north of the community of Planada",4563.0,100.0,-120.34207,37.39339,2018,4871.53
Raymond Fire,2018-06-15 11:46:00+00:00,Madera,"off Road 407 and Road 600, Community of Raymond",60.0,100.0,-119.91223,37.14663,2018,4870.33
Boyer Fire,2018-06-15 13:37:00+00:00,Mariposa,"off Boyer Road and Fox Hollow Lane, Community of Bootjack",53.0,100.0,-119.84299,37.47677,2018,4868.47
Oregon Fire,2018-06-16 11:47:00+00:00,Butte,"off Oregon Gulch Road, near View Lane, North of Oroville",40.0,100.0,-121.521111,39.549167,2018,4846.3
Creek Fire,2018-06-16 14:04:00+00:00,Lake,"off Rocky Creek Road at Morgan Valley Rd, community of Lower Lake",32.0,100.0,-122.476381,38.886518,2018,4844.02
Willow Fire,2018-06-16 15:10:00+00:00,Contra Costa,"off Willow Pass Road at Evora Road, Baypoint",25.0,100.0,-121.998967,38.015323,2018,4842.92
China Fire,2018-06-17 13:58:00+00:00,Amador,"off China Gulch Road and Comanche Parkway North, Jackson Valley",17.0,100.0,-120.892404,38.265645,2018,4820.12
Vallecitos Fire,2018-06-17 15:56:00+00:00,Alameda,"off Vallecitos Road and Little Valley, south of Livermore",20.0,100.0,-121.806775,37.627119,2018,4818.13
Dinosaur Fire,2018-06-17 15:09:00+00:00,Merced,"off Dinosaur Road and Highway 152, Santa Nella",185.0,100.0,-121.176354,37.05876,2018,4818.92
Wheeler Fire,2018-06-18 12:30:00+00:00,Mariposa,"Wheeler Gulch & Hwy 49 South, southwest of Coulterville",115.0,100.0,-120.199162,37.707234,2018,4797.57
Iron Fire,2018-06-19 15:19:00+00:00,Contra Costa," off Montbretia Way and Ironwood, East of San Ramon",40.0,100.0,-121.908976,37.779209,2018,4770.75
Ranchita Fire,2018-06-19 16:06:00+00:00,Monterey,"Ranchita Canyon Road, southwest of the town of Parkfield",10.0,100.0,-120.57833,35.77017,2018,4769.97
Yankee Fire,2018-06-20 18:22:00+00:00,San Luis Obispo,"E. Perimeter Rd, Yankee training area, Camp Roberts Military Reservation",1500.0,100.0,-120.75593,35.73629,2018,4743.68
Creek Fire,2018-06-21 16:45:00+00:00,San Luis Obispo,"Suey Creek Road & Crystal Springs, east of Nipomo",10.0,100.0,-120.39295,35.05747,2018,4721.3
Bascom Fire,2018-06-23 12:54:00+00:00,Shasta,"Off Bascom Rd & Hwy 44, in Millville",328.0,100.0,-122.17457,40.52909,2018,4677.13
Lane Fire,2018-06-23 11:38:00+00:00,Tehama,Off Hwy 36 in Paynes Creek,3392.0,100.0,-121.77867,40.35068,2018,4678.4
Sierra Fire,2018-06-23 13:15:00+00:00,Tehama,"Off Casale Rd & Reading Rd, south of Red Bluff",170.0,100.0,-122.19792,40.12791,2018,4676.78
Stoll Fire,2018-06-23 12:52:00+00:00,Tehama,"Stoll Rd & Baker Rd, west of Red Bluff",268.0,100.0,-122.27574,40.18395,2018,4677.17
Pawnee Fire,2018-06-23 17:21:00+00:00,Lake,"Pawnee Rd & New Long Valley Rd, northeast of Clearlake Oaks ",15180.0,100.0,-122.59848,39.0674,2018,4672.67
Canyon Fire,2018-06-23 19:39:00+00:00,Los Angeles,North of Lake Piru,62.0,100.0,-118.75495,34.53765,2018,4670.37
Stony Fire,2018-07-04 13:14:00+00:00,Colusa,"off Stonyford Road and Lake Park, west of Maxwell   ",75.0,100.0,-122.512012,39.2976,2018,4412.7
Sheep Fire,2018-06-29 17:53:00+00:00,Kern,"Comanche Point Rd, 3 miles south of Arvin",95.0,100.0,-118.72905,35.1234,2018,4528.07
Creek Fire,2018-06-24 12:29:00+00:00,Shasta,"Clear Creek Rd & American Rd, west of Redding",1678.0,100.0,-122.42308,40.50318,2018,4653.53
Flat Fire,2018-06-24 13:54:00+00:00,Tuolumne,"Hwy 49 & Marshes Flat Rd, in the Community of Moccasin ",163.0,100.0,-120.30187,37.80785,2018,4652.12
Horse Fire,2018-06-24 15:28:00+00:00,Calaveras,"Horseshoe Rd & Stagecoach Dr, near Copperopolis",80.0,100.0,-120.68902,37.95766,2018,4650.55
Romero Fire,2018-06-24 16:11:00+00:00,Merced,"Hwy 152 & Lower Cottonwood, west of Los Banos",68.0,100.0,-121.09354,37.08529,2018,4649.82
Peach Fire ,2018-07-05 15:12:00+00:00,Mendocino,"off Peachland Road and Highway 128, north of the Community of Boonville",90.0,100.0,-123.38493,39.038859,2018,4386.72
Waverly Fire,2018-06-29 15:11:00+00:00,San Joaquin,"off North Waverly Road and North Shelton Road, east of Linden",11789.0,100.0,-120.945482,38.052055,2018,4530.78
Llano Fire,2018-06-29 11:44:00+00:00,Butte,"at the Llano Seco Ranch, south of Chico",10.0,100.0,-121.954098,39.6139,2018,4534.23
Flat Fire,2018-06-28 18:01:00+00:00,Trinity,"Reading Creek Road, SE of Douglas City",300.0,100.0,-122.9144,40.60402,2018,4551.97
San Ardo,2018-06-26 07:11:00+00:00,Monterey,"Sargents Canyon and Deadman Gulch, San Ardo Oil Fields",375.0,100.0,-120.86256,35.95515,2018,8641.68
Lions Fire,2018-06-11 12:00:00+00:00,Madera,near the Lion Point area in the Ansel Adams Wilderness,4064.0,100.0,-119.118,37.571,2018,4966.05
Anchor Fire,2018-06-27 12:39:00+00:00,Fresno,"Anchor Ave and Hills Valley Rd, north of Orange Cove",76.0,100.0,-119.304499,36.696879,2018,4581.33
Shippee Fire,2018-06-26 12:56:00+00:00,Butte,"Midway Road and Esquon Road , 4 miles SE  of Durham",460.0,100.0,-121.78208,39.59872,2018,4605.05
Fox Fire,2018-06-26 11:16:00+00:00,San Luis Obispo,"Camp San Luis Obispo Range Echo, 3 miles NW of San Luis Obispo",260.0,100.0,-120.71488,35.33916,2018,4606.73
Hyatt Fire,2018-06-27 15:09:00+00:00,Lassen,"Hyatt Ln and Standish Buntingville Rd, 5 miles east of Janesville",383.0,100.0,-120.45053,40.316137,2018,4578.83
Cherry Fire,2018-06-27 19:46:00+00:00,Siskiyou,"Cherry Maple Road Klamath River, NW of Yreka, Klamath National Forest",63.0,100.0,-122.99272,41.83359,2018,4574.22
Par Fire,2018-07-04 13:30:00+00:00,Butte,"off Par Four Way and Highway 162, west of the City of Oroville ",191.0,100.0,-121.637759,39.491737,2018,4412.43
Grant Fire,2018-06-29 15:46:00+00:00,Sacramento,"off Grant Line Rd and White Rock Rd, southwest of Folsom",30.0,100.0,-121.17693,38.595865,2018,4530.2
Valley Fire,2018-06-29 16:06:00+00:00,Contra Costa,"Ygnaciao Valley Road and Cowell Road, Concord",268.0,100.0,-121.9921,37.94714,2018,4529.87
Tesla Fire,2018-06-29 20:59:00+00:00,Santa Clara,"Tesla Road and Reuss Road, east of Livermore",70.0,100.0,-121.67144,37.66074,2018,4524.97
Creek Fire,2018-06-30 12:12:00+00:00,San Bernardino,"Hwy 330 and Old City Creek Rd, Community of Running Springs",33.0,100.0,-117.15381000000001,34.17711,2018,4509.75
County Fire,2018-06-30 14:12:00+00:00,Yolo,east of Lake Berryessa,90000.0,100.0,-122.18183,38.80583,2018,4507.75
Benton Fire,2018-07-04 14:20:00+00:00,Riverside,off Benton Road and Crams Corner Drive in Anza,63.0,100.0,-116.732032,33.56349,2018,4411.6
Lariat Fire,2018-07-14 20:40:00+00:00,Tehama,"off Oakridge Rd & Horseshoe Dr, Rancho Tehama, southwest of Red Bluff",33.0,100.0,-122.44008,40.00293,2018,4165.1
School Fire,2018-07-10 17:31:00+00:00,Madera,"in the area of Road 230 and Road 225, North Fork",12.0,100.0,-119.50461,37.22791,2018,4264.32
Petersburg Fire,2018-07-01 18:13:00+00:00,Siskiyou,Petersburg and Caribou Creek Rd 3 MI SW of Cecilville,215.0,100.0,-123.051,41.085,2018,4479.72
West Fire,2018-07-06 23:39:00+00:00,San Diego,"off I-8 & West Willows Rd, Community of Alpine",504.0,100.0,-116.7311,32.833674,2018,4354.27
Buckingham Fire,2018-07-02 14:25:00+00:00,Contra Costa,"Buckingham Dr and Moraga Rd, southwest of Walnut Creek ",45.0,100.0,-122.12351,37.86339,2018,4459.53
Building Fire,2018-07-06 10:11:00+00:00,San Diego,off Highway 94 and Community Building Road near Dulzura,10.0,100.0,-116.764733,32.619855,2018,4367.73
Klamathon Fire,2018-07-05 12:31:00+00:00,Siskiyou,"off Klamathon Road and Copco Road, south of Hornbrook",38008.0,100.0,-122.534655,41.893332,2018,4389.4
Irish Fire,2018-07-06 14:42:00+00:00,Amador,"off Irish Ridge Road and Carbondale Road, southeast of Plymouth",825.0,100.0,-120.95408,38.42623,2018,4363.2
Valley Fire,2018-07-06 13:29:00+00:00,San Bernardino,Valley of the Falls Dr & Service Road 1S08,1350.0,100.0,-116.958806,34.095568,2018,4364.43
Eagle Fire,2018-07-13 22:03:00+00:00,Modoc,"County Rd 40/ County Rd1, South West of Eagleville",2100.0,100.0,-120.11461,41.29363,2018,4187.72
Holiday Fire,2018-07-06 20:40:00+00:00,Santa Barbara,"off north Fairview Ave and Holiday Hill Road, City of Goleta",113.0,100.0,-119.831389,34.463889,2018,4357.23
Bridle Fire,2018-07-06 10:40:00+00:00,Santa Clara,"off Bridal Path Drive and Butch Drive, east of Gilroy",116.0,100.0,-121.53586,37.06367,2018,4367.23
Stoney Fire,2018-07-12 22:45:00+00:00,Butte,"Bidwell Park, Upper Park Rd, Chico",962.0,100.0,-121.76859,39.77124,2018,4211.05
Gray Fire,2018-07-13 14:32:00+00:00,San Bernardino,Muscoy,12.0,100.0,-117.35606,34.171786,2018,4195.25
Ferguson Fire,2018-07-13 21:36:00+00:00,Mariposa,"Highway 140 and Hite Cove, near El Portal",96901.0,100.0,-119.88581,37.6549,2018,4188.2
Lebec Fire,2018-07-08 13:38:00+00:00,Kern,"off Lebec Road and Lebec Oaks Road, North of Lebec",62.0,100.0,-118.87881,34.86022,2018,4316.27
Dark Fire,2018-07-10 12:42:00+00:00,Butte,"south of Rich Gulch, near Lake Oroville",11.0,100.0,-121.51772,39.66492,2018,4269.15
Curie Fire,2018-07-10 15:08:00+00:00,Santa Clara,"Curie Dr and San Ignacio Ave, southeast of San Jose",70.0,100.0,-121.79189,37.22545,2018,4266.7
Hale Fire,2018-07-10 16:45:00+00:00,Santa Clara,at Hale Ave and Monterey St. in Morgan Hill ,51.0,100.0,-121.702547,37.163594,2018,4265.1
Kelley Fire,2018-07-14 20:46:00+00:00,Modoc,"off Hwy 299 E & County Rd 74, west of Devils Garden Conservation Camp",52.0,100.0,-120.61108,41.50105,2018,4165.0
Panoche Fire,2018-07-11 16:40:00+00:00,San Benito,"off Panoche Road, 2 miles north of CAL FIRE Antelope Station, southeast of Hollister",278.0,100.0,-121.0454,36.65351,2018,4241.15
Georges Fire,2018-07-08 13:36:00+00:00,Inyo,"off Hogback and Whitney Portal Road, Alabama Hills",2883.0,100.0,-118.21881,36.6734,2018,4316.3
Vista Fire,2018-07-08 14:41:00+00:00,Shasta,"off Hwy 299 E and Deschutes Rd, Bella Vista",31.0,100.0,-122.23449,40.62693,2018,4315.2
Bruce Fire,2018-07-08 16:45:00+00:00,Contra Costa,"off Bruce Lane and Joseph Lane, east of San Ramon",56.0,100.0,-121.85311,37.79718,2018,4313.13
Grant Fire,2018-07-08 17:38:00+00:00,Alameda,"off I580 and Grantline Rd, Altamont Area",480.0,100.0,-121.60646,37.75646,2018,4312.25
Box Fire,2018-07-06 09:36:00+00:00,San Bernardino,"off Interstate 15 and Kenwood Ave, north of San Bernardino",100.0,100.0,-117.40967,34.22526,2018,4368.32
Cornerstone Fire,2018-07-09 17:54:00+00:00,Madera,"Cornerstone Court, Yosemite Lakes",11.0,100.0,-119.80414,37.19817,2018,4287.97
